"Metabolite name"	"m/z similarity"	"l2fc"	"p"
"Galaxolidone"	"0.9"	-0.23777028967073	0.678260226438243
"Gemcitabine"	"0.99"	0.869052212815806	0.441521271377896
"Gibberellin A1"	"1.00"	0.217326374280748	0.575402368012151
"Glutamic acid"	"0.97"	1.73762486276577	0.00841981980316473
"Glutamine"	"0.62"	-0.884318106700418	0.343702733352277
"Glycocyamine"	"1.00"	1.31805851155288	0.0909111650257748
"Glycyl-L-proline"	"0.78"	-0.00674312949954817	0.947094170363702
"Guanine"	"0.88"	1.09089537925049	0.247815463517635
"Harmaline"	"0.99"	0.512348574047906	0.155127385568038
"Harman"	"1"	0.890557563504571	0.181128923122538
"Hesperidin"	"1"	3.3963641901942	0.00118493075147612
"Hesperidin methyl chalcone"	"0.98"	2.52245603104763	0.00619642231794774
"Hycanthone"	"0.64"	-0.307613706042147	0.110886258580895
"Hydratoperidinin"	"0.81"	3.3814804887851	0.0803504733005236
"Hydrocortisone"	"0.98"	-0.743112411063144	0.0339451903621048
"IRGANOX 1035"	"0.69"	-0.206047287869728	0.538220749427311
"Icariin"	"0.62"	1.28224663749029	0.0850480825608312
"Imazalil"	"0.96"	-1.36637242383878	0.465063406448427
"Indole-3-acetonitrile"	"0.88"	0.157486903865805	0.767533985292751
"Indole-3-acetyl-L-aspartic acid"	"0.69"	-1.12101862976004	0.0141936996293884
"Ioxitalamic acid"	"0.98"	0.0774666311040662	0.868851421093594
"Iprovalicarb"	"0.93"	0.814850094626037	0.0242475107161259
"Irgarol"	"0.72"	-1.16401108486709	0.0235828117293036
"Isopentenyladenine"	"0.98"	0.161125694888608	0.136877129126217
"Isoproturon-monodemethyl"	"0.75"	0.519962718856064	0.565451658342439
"Kaempferide"	"0.99"	-1.42036397787101	0.002505412078871
"Ketoconazole"	"1"	1.69209863526392	0.0616204438755259
"Ketoprofen"	"0.94"	0.0815382950884361	0.884928753972388
"L-5-Oxoproline"	"0.83"	0.196190686015524	0.55569627954968
"L-Carnosine"	"0.85"	-0.21738065803515	0.620768574550082
"L-Glutamic acid"	"0.95"	-0.0120747562832488	0.99085522172529
"L-Glutathione (oxidized form)"	"0.66"	3.06788459847912	0.25332513871438
"L-Tyrosine"	"0.92"	0.139997710890428	0.855593167625041
"L-beta-Homotyrosine"	"0.96"	-0.369256919276744	0.157305002215476
"Lactose"	"0.91"	0.180771525288148	0.704865794989037
"Laudanosine"	"1"	0.821992489837296	0.00877961603559129
"Leu-Leu-Tyr"	"0.99"	-1.1418133025904	0.0428999189286639
