Sample_ID	Well	Plate_ID	Isolate	Comments	Group	Rep	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
4	A5	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	2	0	0	0.022839186	0.022839186	0.22775009	1.143671413333333		0.022839186	0.00015869047734494898	0.18707186971856613	0.170038717248032	0.310942884200581	0.27074663724256554	2.8333333333333335	0.2833321565384477	0.23978126129422145	2.446411974653101	2.5	2.8333333333333335	0.0	0.0	1.8574917220204803	1.3333333333333333	1.3333333333333333	3.0	FALSE
4	A5	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	2	0	0	0.022839186	0.022839186	0.22775009	1.143671413333333		0.022839186	0.00015869047734494898	3.2989683968297148	2.5532511037787233	1.334911818897413	0.8479741254815865	5.0	0.6823166618736203	-0.690189504312792	1.0158731558109466	4.333333333333333	5.833333333333333	1.2228853690548978	0.7417901441064743	3.549122386359964	3.0	3.0	11.0	FALSE
5	A6	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	3	0	0	0.027321026	0.027321026	0.17793424	0.9029776001666666		0.027321026	0.00025499503224560386	1.6067641799176413	1.104072099494919	1.3791102134699904	0.8667265578937942	1.8333333333333333	0.8148601587747617	0.07515905444439566	0.8506332934502207	0.0	1.8333333333333333	0.0	0.0	0.0	0.0	0.0	2.0	TRUE
5	A6	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	3	0	0	0.027321026	0.027321026	0.17793424	0.9029776001666666		0.027321026	0.00025499503224560386	1.149421499081241	0.6456540125911058	0.78790615636536	0.5810451901196503	4.666666666666667	0.36742283024660166	-0.31503998617638945	1.8865109173938064	3.6666666666666665	5.833333333333333	1.148734024149823	1.0286266735107505	2.734319052782085	2.0	2.0	11.0	TRUE
6	A7	Combined_curves	BY4741	WT_Post-shift	3	1	0	0	0.015659256	0.015659256	0.23059598899999997	1.5508772276666665		0.015659256	3.624385466717792e-05	2.087417250278406	1.2431288436711707	2.2303825845721414	1.1726005774562023	1.5	1.5178963281847089	0.1968904950527207	0.45664988292639047	0.0	1.5	0.0	0.0	0.0	0.0	0.0	1.6666666666666667	FALSE
6	A7	Combined_curves	BY4741	WT_Post-shift	3	1	0	0	0.015659256	0.015659256	0.23059598899999997	1.5508772276666665		0.015659256	3.624385466717792e-05	0.2818112478510042	0.2502659708601567	0.4051827088252884	0.340167336199531	3.1666666666666665	0.29590722661663016	0.29590722661663016	2.3424476261878153	3.1666666666666665	3.1666666666666665	0.0	0.0	2.01709238931979	1.6666666666666667	1.6666666666666667	3.3333333333333335	FALSE
6	A7	Combined_curves	BY4741	WT_Post-shift	3	1	0	0	0.015659256	0.015659256	0.23059598899999997	1.5508772276666665		0.015659256	3.624385466717792e-05	11.45784115434694	6.574058060788453	2.2079807507804587	1.1656416896061095	10.666666666666666	0.4084463043389484	-0.028824259957417064	1.6970337917043274	5.0	10.833333333333334	0.007033492844084055	0.002194905500026323	3.590678826044848	3.3333333333333335	3.3333333333333335	11.0	FALSE
7	A8	Combined_curves	BY4741	WT_Post-shift	3	2	0	0	0.015659256	0.015659256	0.256110868	1.675485391		0.015659256	2.6258312396199717e-05	2.0107803347444912	1.1786868919622027	2.183421205431454	1.157956469244008	1.3333333333333333	2.146527364326786	0.09514582856017162	0.3229156040958912	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	1.5	FALSE
7	A8	Combined_curves	BY4741	WT_Post-shift	3	2	0	0	0.015659256	0.015659256	0.256110868	1.675485391		0.015659256	2.6258312396199717e-05	0.4046983160917423	0.34898008947666737	0.5154221702203523	0.4156940603542407	3.3333333333333335	0.30039830046563176	0.26675187188948496	2.3074271042330596	2.8333333333333335	3.3333333333333335	0.0	0.0	1.9235496907348142	1.5	1.5	3.5	FALSE
7	A8	Combined_curves	BY4741	WT_Post-shift	3	2	0	0	0.015659256	0.015659256	0.256110868	1.675485391		0.015659256	2.6258312396199717e-05	11.312989207678864	6.459585139852367	2.231540125391735	1.1729588425992348	10.833333333333334	0.4458462852450675	0.051405628641945714	1.554677483022976	5.0	10.833333333333334	0.0	0.0	3.836428659603796	3.5	3.5	11.0	FALSE
8	A9	Combined_curves	BY4741	WT_Post-shift	3	3	0	0	0.030159	0.030159	0.299802435	2.0553165105		0.030159	0.00016916157949207198	1.7495007685741657	1.1827385896712315	1.4349290154827616	0.8899176043571733	1.8333333333333333	1.093292486032922	0.07816606867313677	0.6339997662245642	0.0	1.8333333333333333	0.0	0.0	0.0	0.0	0.0	2.0	FALSE
8	A9	Combined_curves	BY4741	WT_Post-shift	3	3	0	0	0.030159	0.030159	0.299802435	2.0553165105		0.030159	0.00016916157949207198	14.79265146399778	7.855727363262543	2.7259974521962005	1.3153345883885565	10.5	0.3948799252781313	-0.017817631964761882	1.755336587626558	4.5	10.833333333333334	0.011331365957985895	0.0030457968323465145	3.0909168352847995	2.0	2.0	11.0	FALSE
9	A10	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.022562983999999998	0.022562983999999998	0.35728871700000003	2.2896450196666662		0.022562983999999998	9.822424295774572e-05	2.197770006257276	1.3783462808582425	1.9102940086358018	1.0682541099752854	1.8333333333333333	1.23158408802724	0.15602533016931464	0.5628094640863973	0.0	1.8333333333333333	0.0	0.0	0.0	0.0	0.0	2.0	FALSE
9	A10	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.022562983999999998	0.022562983999999998	0.35728871700000003	2.2896450196666662		0.022562983999999998	9.822424295774572e-05	23.475154990845297	10.281042945962387	4.327332396783599	1.6728506244832948	10.666666666666666	0.4906576541601303	-0.0029305883700724454	1.4126900389364574	4.333333333333333	10.833333333333334	0.000334770628193759	6.284217357332977e-05	2.864254585756435	2.0	2.0	11.0	FALSE
10	A11	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	2	0	0	0.023024032000000003	0.023024032000000003	0.358001022	2.3260585124999995		0.023024032000000003	6.619292043027504e-05	1.5811103119105996	1.005355496208662	1.737108035256436	1.0069019014229192	1.3333333333333333	1.782718028663071	0.11515128796110358	0.38881481502700854	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	1.5	FALSE
10	A11	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	2	0	0	0.023024032000000003	0.023024032000000003	0.358001022	2.3260585124999995		0.023024032000000003	6.619292043027504e-05	24.87748537619849	10.730113968206034	4.565925321690829	1.7166632461417604	10.833333333333334	0.47328542495778797	0.025321921238345375	1.4645436854975338	4.666666666666667	10.833333333333334	0.0	0.0	2.704030772820489	1.5	1.5	11.0	FALSE
11	A12	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	3	0	0	0.028080725	0.028080725	0.29440086600000004	1.9842284819999998		0.028080725	0.00016700195241588605	1.5751126122184775	1.0369053946352855	1.5520975036701987	0.9369155715200027	1.5	1.3717324002925044	0.0745310209443464	0.5053078723023094	0.0	1.5	0.0	0.0	0.0	0.0	0.0	1.6666666666666667	FALSE
11	A12	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	3	0	0	0.028080725	0.028080725	0.29440086600000004	1.9842284819999998		0.028080725	0.00016700195241588605	16.527594255085788	8.460034611462317	3.0294947538526396	1.3936409968465124	10.833333333333334	0.4018738146492964	0.011293470952583779	1.7247881182923916	5.0	10.833333333333334	0.0	0.0	3.005790558001824	1.6666666666666667	1.6666666666666667	11.0	FALSE
