Sample_ID	Well	Plate_ID	Isolate	Comments	Group	Replicate	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
64	C17	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0371132903904241	0.0371132903904241	0.15119418863719			0.0371132903904241	0.31588878714835766	6.109811496536563	0.09815100463957654	1.3082693107821521	0.08395454102079179	0.9452596474077813	0.6005640429109393	-1.0673354433562097	1.1541603077004987	2.157255950576455	0.0	4.5	4.0	5.166666666666667	1.0	7.583080492849258e-05	FALSE
65	C18	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0494454646901178	0.0494454646901178	0.322655357715957			0.0494454646901178	1.6303787461612753	13.28137056081028	0.26859592335065924	1.8645590922156856	0.0	0.0	0.4722428661463805	0.015507578810582416	1.467776922108319	1.5141647615607705	0.0	10.5	3.6666666666666665	10.5	0.0	1.613635825231936e-05	FALSE
66	C19	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0394092840012376	0.0394092840012376	0.162423455498312			0.0394092840012376	0.3105047824446962	5.7138094098695	0.09969561613602504	1.2754981153139715	0.08664191457715092	0.9519887191706402	0.5668698166411272	-0.977908476649709	1.222762546552662	2.039388227714098	0.0	4.5	4.0	5.166666666666667	1.0	9.221817054488176e-05	FALSE
67	C20	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0510186559639181	0.0510186559639181	0.349539159523349			0.0510186559639181	1.7171787839191075	13.43515522087943	0.29027574018723395	1.9073298339201017	0.0	0.0	0.47471546051569513	0.005666215489689835	1.460131885755232	1.5182762050886827	0.0	10.5	3.6666666666666665	10.5	0.0	2.575372537288626e-05	FALSE
68	C21	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0380701875402784	0.0380701875402784	0.15655301441650502			0.0380701875402784	0.29499588044914365	5.565068433550536	0.10335640350396781	1.3244319419899584	0.08897390293528183	0.9717018366567896	0.6651016591253939	-1.29788764188964	1.0421672702958389	2.3817875975618525	0.0	4.5	4.0	5.166666666666667	1.0	8.19465128638591e-05	FALSE
69	C22	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0491628570100233	0.0491628570100233	0.31119229160266904			0.0491628570100233	1.5064580702614618	12.719259804462805	0.26000049934917907	1.8407988383611738	0.0	0.0	0.44988916676545504	0.016175573819025194	1.5407065378867197	1.5177177499434293	0.0	10.5	3.6666666666666665	10.5	0.0	1.1304530745289872e-05	FALSE
70	C23	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0353568732763871	0.0353568732763871	0.154524825063275			0.0353568732763871	0.2887178284437386	5.794708185061037	0.10280890723856921	1.3762581021939841	0.09050576260488807	1.039587824028314	0.6733231797224536	-1.3833932276850465	1.0294420293768338	2.3079863244870094	0.0	4.5	4.0	5.166666666666667	1.0	9.546783186218424e-05	FALSE
71	C24	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0419150028871915	0.0419150028871915	0.36447080483814703			0.0419150028871915	1.7933681002172492	15.144036590637569	0.31939468881690736	2.159661101142232	0.0	0.0	0.4693849601355054	0.024463085917751516	1.4767136560145484	1.2136670754103442	0.0	10.5	3.6666666666666665	10.5	1.0	1.0991910588415892e-05	FALSE
72	D1	plate_1	BY4741	WT_Post-shift	3	1	0	0	0.0390413664739848	0.0390413664739848	0.256635146796719			0.0390413664739848	1.3688354398447338	13.801467093976502	0.21629253538996135	1.879188332438499	0.0	0.0	0.5016493225904475	0.025333122535402996	1.3817365026641109	-0.016084777574148924	0.0	10.5	0.0	10.5	1.0	6.221576095980806e-06	FALSE
73	D2	plate_1	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.0539624133413035	0.0539624133413035	0.29055520613843			0.0539624133413035	0.6482578135633411	7.395415146362597	0.20676247973880213	1.5785242208663726	0.1647912735664094	0.9940873850499607	0.751563754463819	-1.1529293234355766	0.9222732954364606	2.19544424139231	0.0	4.5	3.8333333333333335	5.166666666666667	0.0	0.0002738815005342639	FALSE
74	D3	plate_1	BY4741	WT_Post-shift	3	1	0	0	0.0429435660672027	0.0429435660672027	0.219854681372568			0.0429435660672027	1.1067219866394458	11.691135939249577	0.17277604966349536	1.6157840614379833	0.003878263291513584	0.018110893516260163	0.4147357101458662	-0.07772813732870362	1.671298524827195	1.3564645511859585	0.0	10.0	3.6666666666666665	10.5	0.0	1.3289158394292253e-05	FALSE
75	D4	plate_1	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.0515987176583528	0.0515987176583528	0.27339435414728797			0.0515987176583528	0.7576294684214747	8.806944734978842	0.17563654924715383	1.4926141386091591	0.12171271044893657	0.7555085447508134	0.6768189991902934	-0.6442547537520069	1.024124886253468	1.9643069824921968	0.0	4.5	3.6666666666666665	5.166666666666667	1.0	0.00025569951444935764	TRUE
76	D5	plate_1	BY4741	WT_Post-shift	3	1	0	0	0.0400270403485685	0.0400270403485685	0.21264776497030102			0.0400270403485685	1.1093203530365243	12.470537510357182	0.16854156318946756	1.6601019632151992	0.0	0.0	0.4167391178327214	0.003912777757335678	1.6632640203413154	1.0861756446661275	0.0	10.5	3.5	10.5	1.0	3.3230262959205665e-05	FALSE
77	D6	plate_1	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.12411771282114	0.0405253803688775	0.154524825063275			0.12411771282114	-0.1731581226208711	-2.3780104418565924	0.016061202116571166	0.10506983856425682	0.02293246262073441	0.18192457164346182	0.5275746901175289	-0.08606026378578835	1.3138370614510175	3.2662179944981293	1.0	5.0	1.5	7.5	0.0	9.044701763000544e-05	TRUE
78	D7	plate_1	BY4741	WT_Post-shift	3	1	0	0	0.0383116350839499	0.0383116350839499	0.23834266102879897			0.0383116350839499	1.2828030146390383	13.774594281733824	0.19404647117244356	1.810650427448909	0.0012990047939241134	0.005560726227855639	0.3568691879735663	-0.023204171324727907	1.9423004392614793	0.26778015486749274	0.0	10.0	2.5	10.5	0.0	3.0408099307584645e-05	FALSE
79	D8	plate_1	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.0443829530634286	0.0443829530634286	0.21176182230290302			0.0443829530634286	0.954971554524193	11.136232553578363	0.13686105864057846	1.4237753099409227	0.03286994043106392	0.19642669520967093	0.4035127247962799	-0.10106215364243232	1.7177827066293687	0.7039891592766157	0.0	5.5	2.6666666666666665	10.5	0.0	8.320955200837256e-05	FALSE
80	D9	plate_1	BY4741	WT_Post-shift	3	1	0	0	0.0394092840012376	0.0394092840012376	0.218032883905355			0.0394092840012376	1.1366937530375134	12.509955235582293	0.17572055016980737	1.7002240704857314	0.0	0.0	0.4361111125774627	0.02183439356385025	1.5893820647297252	1.2844361342090322	0.0	10.5	3.8333333333333335	10.5	1.0	9.190681034204195e-06	FALSE
81	D10	plate_1	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.0451805197067505	0.0451805197067505	0.227749653118864			0.0451805197067505	0.6639634903600873	8.726288312590476	0.15430754204737432	1.4944116406017094	0.10131290794338288	0.6994702628740179	0.636735463359563	-0.575645030459377	1.088595218024674	1.7930684472240765	0.0	4.5	3.6666666666666665	5.166666666666667	1.0	0.0001527428555253047	FALSE
82	D11	plate_1	BY4741	WT_Post-shift	3	1	0	0	0.0375899669416948	0.0375899669416948	0.223539011713362			0.0375899669416948	1.1743450022629025	13.014820869192157	0.18483560626289908	1.7787407541872362	0.0	0.0	0.46431896033744413	0.007479621486747082	1.4928254923214854	1.414842936252061	0.0	10.5	3.8333333333333335	10.5	1.0	9.204206627537744e-06	FALSE
83	D12	plate_1	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.0487409032058065	0.0487409032058065	0.223075479909143			0.0487409032058065	0.8318929048578212	9.81011809359259	0.13069145600247328	1.329335816566601	0.04201350367214665	0.2589321394670443	0.36263943588717223	-0.09713280199328972	1.9113949338251335	0.9231693153598499	0.0	5.666666666666667	3.0	7.0	0.0	0.00021664292430054638	TRUE
