Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
4	A5	Combined_curves	1	0	0	0.0228391860778174	0.0228391860778174	0.227750089932523	1.1436714134065		0.0228391860778174	0.0001586904762936398	3.298968396357584	2.553251102838255	1.3349118211016995	0.847974126425642	5.0	0.6823166630745788	-0.6901895071525241	1.015873154022889	4.333333333333333	5.833333333333333	1.222885370534176	0.7417901443985593	3.5491223892443977	3.0	3.0	11.0	FALSE
5	A6	Combined_curves	1	0	0	0.027321025869900997	0.027321025869900997	0.177934239863922	0.9029776009155575		0.027321025869900997	0.000254995031114458	1.6067641797797403	1.1040720993117732	1.3791102155515205	0.8667265587687136	1.8333333333333333	0.8148601579555668	0.07515905653797555	0.850633294305379	0.0	1.8333333333333333	0.0	0.0	0.0	0.0	0.0	2.0	TRUE
5	A6	Combined_curves	1	0	0	0.027321025869900997	0.027321025869900997	0.177934239863922	0.9029776009155575		0.027321025869900997	0.000254995031114458	1.1494215095689613	0.6456540229196406	0.7879061561638829	0.5810451900069615	4.666666666666667	0.3674228288587728	-0.31503998415373874	1.886510924519532	3.6666666666666665	5.833333333333333	1.1487340200201535	1.0286266672523114	2.7343190493926333	2.0	2.0	11.0	TRUE
6	A7	Combined_curves	1	0	0	0.0156592560318089	0.0156592560318089	0.230595988511362	1.5508772271011702		0.0156592560318089	3.6243854142099116e-05	2.087417244009157	1.2431288410031311	2.2303825854629635	1.172600577731966	1.5	1.517896324816871	0.19689050339608968	0.456649883939584	0.0	1.5	0.0	0.0	0.0	0.0	0.0	1.6666666666666667	FALSE
6	A7	Combined_curves	1	0	0	0.0156592560318089	0.0156592560318089	0.230595988511362	1.5508772271011702		0.0156592560318089	3.6243854142099116e-05	0.28181125498402515	0.2502659767659393	0.40518271431674857	0.34016734010753535	3.1666666666666665	0.29590722330266117	0.29590722330266117	2.3424476524217095	3.1666666666666665	3.1666666666666665	0.0	0.0	2.017092363238447	1.6666666666666667	1.6666666666666667	3.3333333333333335	FALSE
6	A7	Combined_curves	1	0	0	0.0156592560318089	0.0156592560318089	0.230595988511362	1.5508772271011702		0.0156592560318089	3.6243854142099116e-05	11.457841116920761	6.574058046341171	2.2079807450924163	1.1656416878330182	10.666666666666666	0.408446304212133	-0.028824258944250027	1.6970337922312266	5.0	10.833333333333334	0.007033492336212532	0.002194905345259457	3.5906788307657442	3.3333333333333335	3.3333333333333335	11.0	FALSE
7	A8	Combined_curves	1	0	0	0.0156592560318089	0.0156592560318089	0.25611086801082605	1.6754853909935266		0.0156592560318089	2.6258312541686133e-05	2.0107803258989074	1.178686887970277	2.183421209685008	1.1579564705801662	1.3333333333333333	2.1465273415613413	0.09514583751663146	0.3229156075206402	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	1.5	FALSE
7	A8	Combined_curves	1	0	0	0.0156592560318089	0.0156592560318089	0.25611086801082605	1.6754853909935266		0.0156592560318089	2.6258312541686133e-05	0.4046983111024552	0.34898008588047036	0.5154221637633767	0.41569405609339793	3.3333333333333335	0.3003982971161589	0.2667518732952472	2.3074271299611167	2.8333333333333335	3.3333333333333335	0.0	0.0	1.9235496934824778	1.5	1.5	3.5	FALSE
7	A8	Combined_curves	1	0	0	0.0156592560318089	0.0156592560318089	0.25611086801082605	1.6754853909935266		0.0156592560318089	2.6258312541686133e-05	11.312989236777456	6.459585150457482	2.231540129453892	1.172958843856269	10.833333333333334	0.4458462846024199	0.05140562891924229	1.5546774852639047	5.0	10.833333333333334	0.0	0.0	3.8364286571187507	3.5	3.5	11.0	FALSE
8	A9	Combined_curves	1	0	0	0.0301590004485422	0.0301590004485422	0.299802434736504	2.055316510139486		0.0301590004485422	0.00016916157939618457	1.749500737951148	1.1827385745239571	1.4349289968529577	0.8899175967061067	1.8333333333333333	1.093292463584134	0.07816607303356445	0.6339997792426055	0.0	1.8333333333333333	0.0	0.0	0.0	0.0	0.0	2.0	FALSE
8	A9	Combined_curves	1	0	0	0.0301590004485422	0.0301590004485422	0.299802434736504	2.055316510139486		0.0301590004485422	0.00016916157939618457	14.792651472061214	7.85572736702959	2.725997454470962	1.3153345889990673	10.5	0.3948799240205167	-0.017817632453686304	1.7553365932169587	4.5	10.833333333333334	0.011331366450057168	0.003045796962951375	3.090916832012714	2.0	2.0	11.0	FALSE
