Gene_stable_ID	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Description
YMR259C	TRM732	650.623130696668	0.747000959137002	0.235539517999132	1.13475636797106e-05	0.00103547352066356	Protein involved in 2'-O-methylation of C32 of substrate tRNAs; interacts with 2'-O-ribose methyltransferase Trm7p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; non-essential gene; yeast null mutant can be functionally complemented by human THADA, mutations in which have been implicated in epithelial thyroid adenomas, type 2 diabetes, and polycystic ovary syndrome (PCOS)
YMR269W	TMA23	438.156552239926	0.945764368417167	0.313827984121258	1.84868241275076e-05	0.00147251781745001	Nucleolar protein implicated in ribosome biogenesis; deletion extends chronological lifespan
YMR280C	CAT8	2621.77395585679	-0.389682035212381	0.130156927541914	9.65762575695097e-05	0.00470772822532969	Zinc cluster transcriptional activator; necessary for derepression of a variety of genes under non-fermentative growth conditions, active after diauxic shift, binds carbon source responsive elements; relative distribution to the nucleus increases upon DNA replication stress
YMR303C	ADH2	3331.29147778355	-0.834889115625973	0.319568574755932	5.9970604739374e-05	0.00341511426717542	Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YNL014W	HEF3	3457.94132965408	-0.457979667236523	0.192748642994548	0.000316782742903741	0.00998146651330992	Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog, YEF3, that arose from the whole genome duplication
YNL030W	HHF2	2836.68609788804	-0.617021435119814	0.273038354943252	0.000223059224988423	0.00792333404640694	Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity
YNL059C	ARP5	1799.8696144489	0.393736999260622	0.146449874530496	0.000239365441554305	0.00820421551432621	Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes; promotes nucleosome shifts in the 3 prime direction
YNL065W	AQR1	2648.53776721906	1.82075017605707	0.370603007357394	3.53919524232589e-10	2.592902914409e-07	Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; involved in the excretion of excess amino acids; AQR1 has a paralog, QDR1, that arose from the whole genome duplication; relocalizes from plasma membrane to cytoplasm upon DNA replication stress
YNL067W	RPL9B	1601.16333394559	0.631024636261838	0.201341639748748	1.14836681186028e-05	0.00103547352066356	Ribosomal 60S subunit protein L9B; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9B has a paralog, RPL9A, that arose from a single-locus duplication
YNL075W	IMP4	615.908269811201	0.821543650542466	0.368441025044929	0.00015393609071746	0.00605516394426195	Component of the SSU processome; SSU processome is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs
